ID,ETA status,ETA type,Difference with ETA,Deliveries,Attachments,Loading date,Loading period,Unloading date,Unloading period,ZIP - Origin,City - Origin,Region - Origin,Country - Origin,Unique destinations,ZIP - Destination,City - Destination,Region - Destination,Country - Destination,Quote request type,Quote request,Quote request currency,Quote request comment,Vehicle (Requirement),Weight,Weight unit
1,None,, ,1,0,2022-09-01,00:00 - 23:59,2022-09-05,08:00 - 17:00,52333,Potpican,,HR,1,15068,Pozzolo Formigaro,,IT,, 0.00 ,,,Truck 100 m3 NO," 7,707.85 ",kg
2,None,, ,1,0,2022-09-01,00:00 - 23:59,2022-09-05,08:00 - 17:00,52333,Potpican,,HR,1,64010,Ancarano,,IT,, 0.00 ,,,Truck 100 m3 NO," 8,843.54 ",kg
3,None,, ,1,0,2022-09-01,00:00 - 23:59,2022-09-05,07:30 - 12:00,52333,Potpican,,HR,1,67100,Poggio Picenze,,IT,, 0.00 ,,,Truck 100 m3 NO," 6,134.11 ",kg
4,None,, ,1,0,2022-09-01,00:00 - 23:59,2022-09-02,08:00 - 16:00,52333,Potpican,,HR,1,37060,RONCANOVA DI GAZZO VERONESE,,IT,, 0.00 ,,,Truck 100 m3 NO," 5,742.88 ",kg
5,None,, ,1,0,2022-09-01,00:00 - 23:59,2022-09-02,08:00 - 16:00,52333,Potpican,,HR,1,20865,USMATE,,IT,, 0.00 ,,,Truck 100 m3 NO," 9,327.65 ",kg
6,None,, ,1,0,2022-08-31,00:00 - 23:59,2022-09-02,08:00 - 16:00,52333,Potpican,,HR,1,15068,Pozzolo Formigaro,,IT,, 0.00 ,,,Truck 100 m3 NO," 7,707.85 ",kg
7,None,, ,3,0,2022-08-31,00:00 - 23:59,2022-09-01,08:00 - 15:00,52333,Potpican,,HR,3,24040,Madone,,IT,, 0.00 ,,,Truck 100 m3 NO," 7,666.66 ",kg
8,None,, ,1,0,2022-08-31,00:00 - 23:59,2022-09-01,08:00 - 16:00,52333,Potpican,,HR,1,71000,SARAJEVO,,BA,, 0.00 ,,,Truck 100 m3 NO," 6,657.34 ",kg
9,On time,Destination,-01:00:43,1,0,2022-08-30,12:00 - 13:00,2022-09-01,08:00 - 17:00,52333,Potpican,,HR,1,10056,Oulx,,IT,, 0.00 ,,,Truck 100 m3 NO," 6,370.30 ",kg
10,On time,Destination,-00:09:14,1,0,2022-08-30,18:00 - 19:00,2022-08-31,08:00 - 17:00,52333,Potpican,,HR,1,33010,Venzone,,IT,, 0.00 ,,,Truck 100 m3 NO," 7,668.83 ",kg
11,On time,Destination,-00:06:20,1,0,2022-08-30,17:00 - 18:00,2022-08-31,08:00 - 17:30,52333,Potpican,,HR,1,46100,Mantova,,IT,, 0.00 ,,,Truck 100 m3 NO," 8,843.54 ",kg
12,None,, ,1,0,2022-08-30,14:00 - 15:00,2022-08-31,08:00 - 16:00,52333,Potpican,,HR,1,71260,KRESEVO,,BA,, 0.00 ,,,Truck 100 m3 NO," 6,610.56 ",kg
13,On time,Destination,-00:15:03,1,0,2022-08-30,13:00 - 14:00,2022-08-31,00:00 - 23:59,52333,Potpican,,HR,1,6055,Felsőlajos,,HU,, 0.00 ,,,Truck 100 m3 NO," 10,754.83 ",kg
14,None,, ,1,0,2022-08-30,06:00 - 07:00,2022-08-31,00:00 - 23:59,52333,Potpican,,HR,1,6055,Felsőlajos,,HU,, 0.00 ,,,Truck 100 m3 NO," 8,669.87 ",kg
15,None,, ,1,1,2022-08-29,14:00 - 15:00,2022-08-31,08:00 - 17:00,52333,Potpican,,HR,1,15068,Pozzolo Formigaro,,IT,, 0.00 ,,,Truck 100 m3 NO," 7,707.85 ",kg
16,None,, ,1,1,2022-08-29,13:00 - 14:00,2022-08-31,08:00 - 16:00,52333,Potpican,,HR,1,00131,ROMA,,IT,, 0.00 ,,,Truck 100 m3 NO," 5,102.40 ",kg
17,None,, ,1,1,2022-08-29,11:00 - 12:00,2022-08-30,08:00 - 17:00,52333,Potpican,,HR,1,35013,CITTADELLA,,IT,, 0.00 ,,,Truck 100 m3 NO," 10,087.97 ",kg
18,None,, ,1,1,2022-08-29,15:00 - 16:00,2022-08-30,08:00 - 16:00,52333,Potpican,,HR,1,46020,Pegognaga,,IT,, 0.00 ,,,Truck 100 m3 NO," 5,561.38 ",kg
19,None,, ,1,1,2022-08-29,19:00 - 20:00,2022-08-30,08:00 - 16:00,52333,Potpican,,HR,1,42021,Loc. Ghiardo di Bibbiano,,IT,, 0.00 ,,,Truck 100 m3 NO," 5,836.22 ",kg
20,None,, ,1,1,2022-08-29,13:00 - 14:00,2022-08-30,08:00 - 17:00,52333,Potpican,,HR,1,20090,Settala,,IT,, 0.00 ,,,Truck 100 m3 NO," 6,230.40 ",kg
21,None,, ,1,0,2022-08-29,17:00 - 18:00,2022-08-30,08:00 - 16:00,52333,Potpican,,HR,1,71000,SARAJEVO,,BA,, 0.00 ,,,Truck 100 m3 NO," 6,610.56 ",kg
22,None,, ,1,0,2022-08-29,17:00 - 18:00,2022-08-30,00:00 - 23:59,52333,Potpican,,HR,1,6055,Felsőlajos,,HU,, 0.00 ,,,Truck 100 m3 NO," 10,754.83 ",kg
23,None,, ,1,1,2022-08-26,18:00 - 19:00,2022-08-30,08:00 - 17:00,52333,Potpican,,HR,1,15068,Pozzolo Formigaro,,IT,, 0.00 ,,,Truck 100 m3 NO," 8,843.54 ",kg
24,None,, ,2,2,2022-08-26,18:00 - 19:00,2022-08-30,08:00 - 17:00,52333,Potpican,,HR,2,10095,GRUGLIASCO,,IT,, 0.00 ,,,Truck 100 m3 NO," 5,992.17 ",kg
